video_time,x_rot,y_rot,z_rot,quat_x,quat_y,quat_z,quat_w,left_eye_vector_x,left_eye_vector_y,left_eye_vector_z,right_eye_vector_x,right_eye_vector_y,right_eye_vector_z,left_eye_texture_x,left_eye_texture_y,right_eye_texture_x,right_eye_texture_y
0.02,0,0,0,0,0,0,1,0,0,1,0,0,1,2944,1024,2944,1024
0.2372886,11.73578,128.262,358.1515,-0.0301625,-0.8956823,0.09897982,-0.4324887,0.7687739,-0.2033988,-0.6063133,0.7687739,-0.2033988,-0.6063133,307.3568,891.0455,307.3568,891.0455
0.3776748,12.05022,128.4964,357.6389,-0.02714035,-0.8964584,0.1034216,-0.4300344,0.7654023,-0.2087689,-0.6087487,0.7654023,-0.2087689,-0.6087487,309.9911,887.4764,309.9911,887.4764
0.4046603,12.06887,128.5013,357.5756,-0.02671121,-0.8964781,0.1038059,-0.4299279,0.7652962,-0.2090873,-0.6087728,0.7652962,-0.2090873,-0.6087728,310.0461,887.2645,310.0461,887.2645
0.4329767,12.11372,128.4904,357.5559,-0.02673704,-0.8964082,0.1042274,-0.4299701,0.7652839,-0.2098527,-0.6085247,0.7652839,-0.2098527,-0.6085247,309.9201,886.754,309.9201,886.754
0.4625846,12.1593,128.4671,357.5505,-0.02688844,-0.8962879,0.104598,-0.4301212,0.7653999,-0.2106305,-0.6081101,0.7653999,-0.2106305,-0.6081101,309.6548,886.2348,309.6548,886.2348
0.4898247,12.21095,128.4423,357.5483,-0.02708998,-0.8961564,0.1050034,-0.4302838,0.7655141,-0.2115117,-0.6076604,0.7655141,-0.2115117,-0.6076604,309.3718,885.6465,309.3718,885.6465
0.5183033,12.27,128.4493,357.5663,-0.02744761,-0.8961335,0.1053985,-0.4302122,0.7652692,-0.2125188,-0.6076174,0.7652692,-0.2125188,-0.6076174,309.4471,884.9756,309.4471,884.9756
0.5471087,12.22656,128.4844,357.5527,-0.02714453,-0.8963014,0.1051188,-0.4299501,0.7650228,-0.2117778,-0.6081861,0.7650228,-0.2117778,-0.6081861,309.8457,885.4708,309.8457,885.4708
0.575264,12.23586,128.5809,357.5841,-0.02733691,-0.8966487,0.1050966,-0.4292185,0.7639704,-0.2119365,-0.6094524,0.7639704,-0.2119365,-0.6094524,310.9346,885.3683,310.9346,885.3683
0.6047821,12.25839,128.8468,357.6426,-0.02763595,-0.8976111,0.1051179,-0.4271777,0.7610688,-0.2123208,-0.6129391,0.7610688,-0.2123208,-0.6129391,313.9343,885.1193,313.9343,885.1193
0.6323426,12.41293,129.3585,357.8908,-0.02969032,-0.8993283,0.105534,-0.4233081,0.7551191,-0.2149556,-0.6193457,0.7551191,-0.2149556,-0.6193457,319.6918,883.369,319.6918,883.369
0.6609912,12.59854,130.2562,358.2445,-0.03232804,-0.9023739,0.1059375,-0.4164775,0.7447873,-0.2181183,-0.6306475,0.7447873,-0.2181183,-0.6306475,329.8483,881.2442,329.8483,881.2442
